"ID_TEMPO","NU_ANO","NU_MES","NU_ANOMES","SG_MES","NM_MESANO","NM_MES","NU_DIA","DT_TEMPO","NU_HORA"
509,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,10
510,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,11
511,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,12
512,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,13
513,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,14
514,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,15
515,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,16
516,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,17
517,2007,3,200703,Mar,Mar/2007,Março    ,6,2007-03-06 00:00:00,18
518,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,8
519,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,9
520,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,10
521,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,11
522,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,12
523,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,13
524,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,14
525,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,15
526,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,16
527,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,17
528,2007,3,200703,Mar,Mar/2007,Março    ,7,2007-03-07 00:00:00,18
529,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,8
530,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,9
531,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,10
532,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,11
533,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,12
534,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,13
535,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,14
536,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,15
537,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,16
538,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,17
539,2007,3,200703,Mar,Mar/2007,Março    ,8,2007-03-08 00:00:00,18
540,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,8
541,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,9
542,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,10
543,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,11
544,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,12
545,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,13
546,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,14
547,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,15
548,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,16
549,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,17
550,2007,3,200703,Mar,Mar/2007,Março    ,9,2007-03-09 00:00:00,18
551,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,8
552,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,9
553,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,10
554,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,11
555,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,12
556,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,13
557,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,14
558,2007,3,200703,Mar,Mar/2007,Março    ,12,2007-03-12 00:00:00,15
